Year,State,Age Group,Total ('000),Male ('000),Female ('000)
2012,Johor,0 - 4,285.1,147.8,137.3
2012,Johor,5 - 9,299.9,154.6,145.3
2012,Johor,10 - 14,318.9,165,153.9
2012,Johor,15 - 19,304,159.2,144.7
2012,Johor,20 - 24,331.7,181.9,149.8
2012,Johor,25 - 29,334.7,185.4,149.3
2012,Johor,30 - 34,287.4,157.2,130.2
2012,Johor,35 - 39,243.4,130.7,112.6
2012,Johor,40 - 44,222.7,115.6,107.1
2012,Johor,45 - 49,202.7,106.7,96
2012,Johor,50 - 54,175.6,91.8,83.7
2012,Johor,55 - 59,140.9,72,69
2012,Johor,60 - 64,109.2,56.2,53
2012,Johor,65 - 69,74.3,38.4,35.9
2012,Johor,70 - 74,52.8,26.9,25.9
2012,Johor,75 - 79,33.2,16.3,16.9
2012,Johor,80 - 84,18.3,8.5,9.8
2012,Johor,85+,15.6,7.4,8.3
2012,Kedah,0 - 4,176.5,90.4,86.1
2012,Kedah,5 - 9,176,89.8,86.2
2012,Kedah,10 - 14,206.4,107,99.4
2012,Kedah,15 - 19,210.8,108.7,102
2012,Kedah,20 - 24,181.5,94.7,86.8
2012,Kedah,25 - 29,155.6,82.4,73.2
2012,Kedah,30 - 34,131,67.7,63.3
2012,Kedah,35 - 39,124.3,62.3,62
2012,Kedah,40 - 44,123.7,59.9,63.8
2012,Kedah,45 - 49,118.2,58.5,59.7
2012,Kedah,50 - 54,107.7,53,54.7
2012,Kedah,55 - 59,90.7,44.2,46.5
2012,Kedah,60 - 64,70.4,34.8,35.6
2012,Kedah,65 - 69,46.8,22.6,24.2
2012,Kedah,70 - 74,36.5,16.9,19.7
2012,Kedah,75 - 79,23.3,10.5,12.8
2012,Kedah,80 - 84,12.1,5.1,7
2012,Kedah,85+,9.7,3.8,5.9
2012,Kelantan,0 - 4,177,91.3,85.7
2012,Kelantan,5 - 9,170.5,88.1,82.4
2012,Kelantan,10 - 14,189.5,97.5,92
2012,Kelantan,15 - 19,203.3,105,98.3
2012,Kelantan,20 - 24,154.4,80.8,73.6
2012,Kelantan,25 - 29,108.7,58.2,50.5
2012,Kelantan,30 - 34,93.5,48.9,44.6
2012,Kelantan,35 - 39,86.1,41.1,45.1
2012,Kelantan,40 - 44,87.5,40.3,47.2
2012,Kelantan,45 - 49,88.2,41.3,46.9
2012,Kelantan,50 - 54,81.4,38.2,43.1
2012,Kelantan,55 - 59,65.1,30.8,34.2
2012,Kelantan,60 - 64,52,25.8,26.3
2012,Kelantan,65 - 69,36.7,17.3,19.4
2012,Kelantan,70 - 74,25.2,11.4,13.9
2012,Kelantan,75 - 79,14.9,6.7,8.3
2012,Kelantan,80 - 84,8.7,3.7,5
2012,Kelantan,85+,8,3.1,4.9
2012,Melaka,0 - 4,66.7,34.1,32.6
2012,Melaka,5 - 9,70.6,36,34.6
2012,Melaka,10 - 14,73,38.2,34.8
2012,Melaka,15 - 19,89.9,45.7,44.2
2012,Melaka,20 - 24,90.3,47,43.3
2012,Melaka,25 - 29,75.9,39.3,36.6
2012,Melaka,30 - 34,59.2,30.5,28.7
2012,Melaka,35 - 39,49.8,25.6,24.2
2012,Melaka,40 - 44,50.4,23.7,26.8
2012,Melaka,45 - 49,49.9,24.3,25.6
2012,Melaka,50 - 54,44.9,22.6,22.4
2012,Melaka,55 - 59,36.8,18.2,18.7
2012,Melaka,60 - 64,30.4,14.6,15.8
2012,Melaka,65 - 69,21.4,10.3,11.1
2012,Melaka,70 - 74,15.1,7.3,7.7
2012,Melaka,75 - 79,9.4,4.4,5
2012,Melaka,80 - 84,5,2.2,2.8
2012,Melaka,85+,4.5,1.9,2.6
2012,Negeri Sembilan,0 - 4,84.8,43.2,41.7
2012,Negeri Sembilan,5 - 9,92.6,48.8,43.8
2012,Negeri Sembilan,10 - 14,96,50.5,45.5
2012,Negeri Sembilan,15 - 19,105.7,56.7,48.9
2012,Negeri Sembilan,20 - 24,111.4,60.1,51.3
2012,Negeri Sembilan,25 - 29,94.8,51.1,43.6
2012,Negeri Sembilan,30 - 34,74.8,40.5,34.4
2012,Negeri Sembilan,35 - 39,66.7,34.5,32.3
2012,Negeri Sembilan,40 - 44,61,30.4,30.6
2012,Negeri Sembilan,45 - 49,60.2,29.3,30.9
2012,Negeri Sembilan,50 - 54,58.5,29,29.5
2012,Negeri Sembilan,55 - 59,50.2,25.2,25
